time,ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.161,0.000000,0.000000,0.000000,0.000000,0.175000
1.180,0.000000,0.000000,0.000000,346522.184600,0.175000
1.200,103.000000,0.000000,0.000000,346522.184600,0.175000
1.214,103.000000,69.000000,0.000000,346522.184600,0.175000
1.234,103.000000,69.000000,3569.100000,346522.184600,0.175000
2.072,103.000000,69.000000,3569.100000,346522.184600,0.275000
2.088,103.000000,69.000000,3569.100000,137986.771800,0.275000
2.104,41.000000,69.000000,3569.100000,137986.771800,0.275000
2.118,41.000000,31.000000,3569.100000,137986.771800,0.275000
2.133,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.122,41.000000,31.000000,3638.700000,137986.771800,0.100000
3.136,41.000000,31.000000,3638.700000,416079.837000,0.100000
3.154,124.000000,31.000000,3638.700000,416079.837000,0.100000
3.174,124.000000,0.000000,3638.700000,416079.837000,0.100000
3.188,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.074,124.000000,0.000000,2440.100000,416079.837000,0.175000
4.087,124.000000,0.000000,2440.100000,396139.626400,0.175000
4.100,118.000000,0.000000,2440.100000,396139.626400,0.175000
4.117,118.000000,15.000000,2440.100000,396139.626400,0.175000
4.131,118.000000,15.000000,360.400000,396139.626400,0.175000
5.113,118.000000,15.000000,360.400000,396139.626400,0.425000
5.127,118.000000,15.000000,360.400000,345550.556400,0.425000
5.140,102.000000,15.000000,360.400000,345550.556400,0.425000
5.159,102.000000,251.000000,360.400000,345550.556400,0.425000
5.172,102.000000,251.000000,2721.400000,345550.556400,0.425000
6.096,102.000000,251.000000,2721.400000,345550.556400,0.225000
6.113,102.000000,251.000000,2721.400000,125428.339800,0.225000
6.131,37.000000,251.000000,2721.400000,125428.339800,0.225000
6.148,37.000000,97.000000,2721.400000,125428.339800,0.225000
6.162,37.000000,97.000000,2771.500000,125428.339800,0.225000
7.097,37.000000,97.000000,2771.500000,125428.339800,-0.050000
7.124,37.000000,97.000000,2771.500000,-282723.275200,-0.050000
7.150,171.000000,97.000000,2771.500000,-282723.275200,-0.050000
7.164,171.000000,189.000000,2771.500000,-282723.275200,-0.050000
