time,ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.213,0.000000,0.000000,0.000000,0.000000,0.175000
1.232,0.000000,0.000000,0.000000,346522.184600,0.175000
1.252,103.000000,0.000000,0.000000,346522.184600,0.175000
1.266,103.000000,69.000000,0.000000,346522.184600,0.175000
1.285,103.000000,69.000000,3569.100000,346522.184600,0.175000
2.160,103.000000,69.000000,3569.100000,346522.184600,0.275000
2.177,103.000000,69.000000,3569.100000,137986.771800,0.275000
2.194,41.000000,69.000000,3569.100000,137986.771800,0.275000
2.209,41.000000,31.000000,3569.100000,137986.771800,0.275000
2.224,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.212,41.000000,31.000000,3638.700000,137986.771800,0.100000
3.265,41.000000,31.000000,3638.700000,416079.837000,0.100000
3.286,124.000000,31.000000,3638.700000,416079.837000,0.100000
3.307,124.000000,0.000000,3638.700000,416079.837000,0.100000
