time,ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.131,0.000000,0.000000,0.000000,0.000000,0.175000
1.150,0.000000,0.000000,0.000000,346522.184600,0.175000
1.170,103.000000,0.000000,0.000000,346522.184600,0.175000
1.184,103.000000,69.000000,0.000000,346522.184600,0.175000
1.201,103.000000,69.000000,3569.100000,346522.184600,0.175000
2.047,103.000000,69.000000,3569.100000,346522.184600,0.275000
2.063,103.000000,69.000000,3569.100000,137986.771800,0.275000
2.080,41.000000,69.000000,3569.100000,137986.771800,0.275000
2.094,41.000000,31.000000,3569.100000,137986.771800,0.275000
2.109,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.094,41.000000,31.000000,3638.700000,137986.771800,0.100000
3.108,41.000000,31.000000,3638.700000,416079.837000,0.100000
3.126,124.000000,31.000000,3638.700000,416079.837000,0.100000
3.144,124.000000,0.000000,3638.700000,416079.837000,0.100000
3.157,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.055,124.000000,0.000000,2440.100000,416079.837000,0.175000
4.070,124.000000,0.000000,2440.100000,396139.626400,0.175000
4.085,118.000000,0.000000,2440.100000,396139.626400,0.175000
4.102,118.000000,15.000000,2440.100000,396139.626400,0.175000
4.116,118.000000,15.000000,360.400000,396139.626400,0.175000
