time,ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.517,103.000000,69.000000,3569.100000,346522.184600,0.175000
1.993,41.000000,31.000000,3638.700000,137986.771800,0.275000
2.468,41.000000,31.000000,3638.700000,137986.771800,0.275000
2.972,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.449,124.000000,0.000000,2440.100000,416079.837000,0.100000
3.967,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.450,118.000000,15.000000,360.400000,396139.626400,0.175000
4.973,118.000000,15.000000,360.400000,396139.626400,0.175000
5.449,102.000000,251.000000,2721.400000,345550.556400,0.425000
5.955,102.000000,251.000000,2721.400000,345550.556400,0.075000
6.449,37.000000,97.000000,2771.500000,125428.339800,0.075000
6.971,37.000000,97.000000,2771.500000,125428.339800,0.075000
7.449,171.000000,189.000000,6068.000000,-282723.275200,-0.050000
