ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.222,103.000000,69.000000,3569.100000,346522.184600,0.175000
2.122,103.000000,69.000000,3569.100000,346522.184600,0.275000
2.138,103.000000,69.000000,3569.100000,137986.771800,0.275000
2.155,41.000000,69.000000,3569.100000,137986.771800,0.275000
2.170,41.000000,31.000000,3569.100000,137986.771800,0.275000
2.185,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.179,41.000000,31.000000,3638.700000,137986.771800,0.100000
3.195,41.000000,31.000000,3638.700000,416079.837000,0.100000
3.217,124.000000,31.000000,3638.700000,416079.837000,0.100000
3.239,124.000000,0.000000,3638.700000,416079.837000,0.100000
3.253,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.129,124.000000,0.000000,2440.100000,416079.837000,0.175000
4.156,124.000000,0.000000,2440.100000,396139.626400,0.175000
4.185,118.000000,0.000000,2440.100000,396139.626400,0.175000
4.216,118.000000,15.000000,2440.100000,396139.626400,0.175000
4.245,118.000000,15.000000,360.400000,396139.626400,0.175000
5.183,118.000000,15.000000,360.400000,396139.626400,0.425000
5.212,118.000000,15.000000,360.400000,345550.556400,0.425000
5.240,102.000000,15.000000,360.400000,345550.556400,0.425000
5.280,102.000000,251.000000,360.400000,345550.556400,0.425000
5.308,102.000000,251.000000,2721.400000,345550.556400,0.425000
6.151,102.000000,251.000000,2721.400000,345550.556400,0.225000
6.179,102.000000,251.000000,2721.400000,125428.339800,0.225000
6.209,37.000000,251.000000,2721.400000,125428.339800,0.225000
6.239,37.000000,97.000000,2721.400000,125428.339800,0.225000
6.268,37.000000,97.000000,2771.500000,125428.339800,0.225000
7.137,37.000000,97.000000,2771.500000,125428.339800,-0.050000
7.176,37.000000,97.000000,2771.500000,-282723.275200,-0.050000
7.216,171.000000,97.000000,2771.500000,-282723.275200,-0.050000
7.245,171.000000,189.000000,2771.500000,-282723.275200,-0.050000
7.273,171.000000,189.000000,6068.000000,-282723.275200,-0.050000
8.130,171.000000,189.000000,6068.000000,-282723.275200,0.550000
8.148,171.000000,189.000000,6068.000000,49547.982400,0.550000
8.162,14.000000,189.000000,6068.000000,49547.982400,0.550000
8.175,14.000000,196.000000,6068.000000,49547.982400,0.550000
8.189,14.000000,196.000000,1383.200000,49547.982400,0.550000
9.126,14.000000,196.000000,1383.200000,49547.982400,0.250000
9.139,14.000000,196.000000,1383.200000,376152.173200,0.250000
9.165,112.000000,196.000000,1383.200000,376152.173200,0.250000
9.180,112.000000,26.000000,1383.200000,376152.173200,0.250000
9.194,112.000000,26.000000,873.800000,376152.173200,0.250000
10.127,112.000000,26.000000,873.800000,376152.173200,0.375000
10.141,112.000000,26.000000,873.800000,209741.630400,0.375000
10.157,62.000000,26.000000,873.800000,209741.630400,0.375000
10.170,62.000000,130.000000,873.800000,209741.630400,0.375000
10.187,62.000000,130.000000,108.000000,209741.630400,0.375000
11.176,62.000000,130.000000,108.000000,209741.630400,0.150000
11.205,62.000000,130.000000,108.000000,-376346.452800,0.150000
11.228,143.000000,130.000000,108.000000,-376346.452800,0.150000
11.255,143.000000,215.000000,108.000000,-376346.452800,0.150000
11.284,143.000000,215.000000,290.400000,-376346.452800,0.150000
12.131,143.000000,215.000000,290.400000,-376346.452800,0.425000
12.157,143.000000,215.000000,290.400000,169801.736800,0.425000
12.172,50.000000,215.000000,290.400000,169801.736800,0.425000
12.188,50.000000,154.000000,290.400000,169801.736800,0.425000
12.202,50.000000,154.000000,5534.000000,169801.736800,0.425000
13.185,50.000000,154.000000,5534.000000,169801.736800,0.575000
13.200,50.000000,154.000000,5534.000000,9987.645200,0.575000
13.215,2.000000,154.000000,5534.000000,9987.645200,0.575000
13.236,2.000000,249.000000,5534.000000,9987.645200,0.575000
13.249,2.000000,249.000000,6533.000000,9987.645200,0.575000
14.161,2.000000,249.000000,6533.000000,9987.645200,0.525000
14.187,2.000000,249.000000,6533.000000,-15022.178800,0.525000
14.208,251.000000,249.000000,6533.000000,-15022.178800,0.525000
14.221,251.000000,133.000000,6533.000000,-15022.178800,0.525000
14.234,251.000000,133.000000,5889.800000,-15022.178800,0.525000
15.186,251.000000,133.000000,5889.800000,-15022.178800,0.600000
15.219,251.000000,133.000000,5889.800000,393913.560200,0.600000
15.232,117.000000,133.000000,5889.800000,393913.560200,0.600000
15.246,117.000000,101.000000,5889.800000,393913.560200,0.600000
15.260,117.000000,101.000000,1439.300000,393913.560200,0.600000
16.172,117.000000,101.000000,1439.300000,393913.560200,0.000000
16.194,117.000000,101.000000,1439.300000,-292890.826200,0.000000
16.207,168.000000,101.000000,1439.300000,-292890.826200,0.000000
16.221,168.000000,182.000000,1439.300000,-292890.826200,0.000000
16.236,168.000000,182.000000,1332.500000,-292890.826200,0.000000
17.130,168.000000,182.000000,1332.500000,-292890.826200,0.000000
17.164,168.000000,182.000000,1332.500000,18441.439800,0.000000
17.180,5.000000,182.000000,1332.500000,18441.439800,0.000000
17.195,5.000000,126.000000,1332.500000,18441.439800,0.000000
17.209,5.000000,126.000000,6358.300000,18441.439800,0.000000
18.138,5.000000,126.000000,6358.300000,18441.439800,0.600000
18.168,5.000000,126.000000,6358.300000,-179318.832000,0.600000
18.203,202.000000,126.000000,6358.300000,-179318.832000,0.600000
18.217,202.000000,143.000000,6358.300000,-179318.832000,0.600000
