time,ControllerTemp,MotorTemp,DCLinkVoltage,VelocityFiltered,GLVPower
1.666,103.000000,69.000000,3569.100000,346522.184600,0.175000
2.191,41.000000,31.000000,3638.700000,137986.771800,0.275000
2.704,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.213,41.000000,31.000000,3638.700000,137986.771800,0.275000
3.703,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.221,124.000000,0.000000,2440.100000,416079.837000,0.100000
4.704,118.000000,15.000000,360.400000,396139.626400,0.175000
5.231,118.000000,15.000000,360.400000,396139.626400,0.175000
5.704,102.000000,251.000000,2721.400000,345550.556400,0.425000
6.208,102.000000,251.000000,2721.400000,345550.556400,0.075000
6.704,37.000000,97.000000,2771.500000,125428.339800,0.075000
7.218,37.000000,97.000000,2771.500000,125428.339800,0.075000
7.703,171.000000,189.000000,6068.000000,-282723.275200,-0.050000
8.205,171.000000,189.000000,6068.000000,-282723.275200,-0.050000
8.704,14.000000,196.000000,1383.200000,49547.982400,0.550000
9.208,14.000000,196.000000,1383.200000,49547.982400,0.550000
9.704,112.000000,26.000000,873.800000,376152.173200,0.250000
10.214,112.000000,26.000000,873.800000,376152.173200,0.250000
10.703,62.000000,130.000000,108.000000,209741.630400,0.375000
11.238,62.000000,130.000000,108.000000,209741.630400,0.375000
11.703,143.000000,215.000000,290.400000,-376346.452800,0.150000
12.224,143.000000,215.000000,290.400000,-376346.452800,0.150000
12.703,50.000000,154.000000,5534.000000,169801.736800,0.425000
